en,cze,chi,dan,deu,eng,eng_and_spa,fre,itl,jpn,por,se,spa,tha,turk,Kor,Russian,Dutch,Finnish,Norwegian
Please answer with complete sentences and use at least %s words.,Odpovídejte prosím celou větou a použijte alespoň %s slov.,请使用至少％s个字回答。,Vi vil bede dig svare med hele sætninger og bruge mindst %s ord.,Bitte antworten Sie in vollständigen Sätzen und schreiben Sie mindestens %s Wörter.,,Please answer with complete sentences and use at least %s words - Por favor use mínimo %s palabras.,Veuillez utiliser au moins %s mots.,,%s 語を使って完全文で回答してください。,Por favor responda com sentenças completas e use pelo menos %s palavras,Svara med fullständiga meningar och med minst %s ord.,Por favor responda usando oraciones completas con un mínimo de %s palabras.,กรุณาตอบคำถามนี้ด้วยประโยคที่สมบูรณ์และใช้คำอย่างน้อย %s คำ,Lütfen tam cümleyle yanıt veriniz ve en az %s kelime kullanınız.,완전한 문장들로 최소 %s자를 사용해 답하여주세요.,Отвечайте законченными предложениями; минимальное число слов – %s.,Beantwoord de vraag met een complete zin en gebruik minstens %s woorden.,Vastaa kokonaisilla lauseilla ja vähintään %s sanalla.,Svar med fullstendige setninger og bruk minst %s ord.
Please enter the required number of words.,Napište prosím požadovaný počet slov.,请输入所需数量的字。,Du har ikke svaret med det påkrævede antal ord,Bitte verwenden Sie die erforderliche Anzahl der Wörter.,,Please enter the required number of words - Por favor ingrese el número requerido de palabras.,Veuillez inscrire le nombre de mots requis.,,必要数語で回答してください。,"Por favor, coloque o número pedido de palavras",Vänligen skriv antalet ord som krävs.,Por favor ingrese el número requerido de palabras.,กรุณาเติมคำตามจำนวนที่กำหนด,Lütfen gerekli sayıda kelime giriniz.,최소 문자수를 입력해주세요.,Введите требуемое количество слов.,Voer het vereiste aantal woorden in.,Anna tarvittava määrä sanoja.,Skriv inn påkrevd antall ord.
Previous,Předchozí,上一个,Forrige,vorherige Seite,,Previous - Previo,Précédente,,前へ,Anterior,Föregående,Anterior,ก่อนหน้านี้,Önceki,이전,Назад,Vorige,Edellinen,Forrige
Next,Další,下一个,Næste,nächste Seite,,Next - Siguiente,Suivant,Avanti,次へ,Próximo,Nästa,Siguiente,หน้าต่อไป,Sonraki,다음,Далее,Volgende,Seuraava,Neste
Submit,Odeslat,提交,Send,Einreichen,,Submit - Enviar,Soumettre,,提出します,"Enviar, submeter",Inkomma,Enviar,ส่งแบบสอบถาม,Gönderiniz,확인,Отправить,Indienen,Lähetä,Send
Please use at least %s words.,Použijte prosím alespoň %s slov.,请使用至少％s个字。,Du skal mindst bruge %s ord.,Bitte schreiben Sie mindestens %s Wörter.,,,,Verifichi che la Sua risposta contenga almeno 10 parole.,,"Por favor, use pelo menos %s palavras",Vänligen ange minst %s ord.,Por favor use un mínimo de %s palabras.,กรุณาใช้คำอย่างตํ่า %s คำ,Lütfen en az %s sayıda kelime kullanınız,최소 %s자를 입력해주세요.,Минимальное требуемое число слов – %s.,Gebruik minstens %s woorden.,Vastaa vähintään %s sanalla.,Bruk minst %s ord.
Are you satisfied with this image?,Jste s tímto obrázkem spokojen/a?,你对这张图片满意吗？,Er du tilfreds med dette billede?,Sind Sie zufrieden mit dieser Abbildung?,,,Est-ce que cette image vous satisfait?,È soddisfatto/a di quest'immagine?,このイメージに満足していますか？,Você está satisfeito com essa imagem?,Är du nöjd med denna bild?,¿Está usted satisfecho con esta imagen?,คุณพึงพอใจกับรูปนี้หรือไม่,Bu görselden memnun musunuz?,이 그림을 선택하겠습니까?,Вам нравится это изображение?,Bent u tevreden met deze afbeelding?,Oletko tyytyväinen tähän kuvaan?,Er du fornøyd med dette bildet?
Yes,Ano,是,Ja,Ja,,,Oui,Sì,はい,Sim,Ja,Sí,ใช่,Evet,예,Да,Ja,Kyllä,Ja
No,Ne,否,Nej,Nein,,,,,いいえ,Não,Nej,No,ไม่ใช่,Hayır,아니요,Нет,Nee,En,Nei
Question %d,Otázka %d,问题％d,Spørgsmål %d,Frage %d,,,,,質問 %d,Questão %d,Fråga %d,Pregunta %d,คำถามที่ %d,Soru %d,질문 %d,Вопрос %d,Vraag %d,Kysymys %d,Spørsmål %d
Start new survey,Spustit nový dotazník.,开始一个新调查问卷,Start en ny undersøgelse,mit der Umfrage beginnen,,,,,新しくアンケートを始める,,Starta ny undersökning,Empezar nueva encuesta,เริ่มตอบแบบสอบถามอันใหม่,Yeni ankete başlayınız,새 설문 시작,Начать новый опрос,Begin nieuwe enquête,Aloita uusi kysely,Start ny undersøkelse
"No, go back","Nesprávná odpověď, vrátit zpět.",否，返回,"Nej, gå tilbage","Nein, zurück zur Übersicht",,,"Non, retour","No, torna indietro",いいえ、戻る,"Não, retornar","Nej, gå tillbaka","No, volver",ไม่ ย้อนกลับไป,"Hayır, geri dönünüz",뒤로,"Нет, вернуться назад","Nee, ga terug","Ei, palaa takaisin","Nei, gå tilbake"
Type your answer here,Zde napište svou odpověď,请在这里输入你的回答,Skriv dit svar her,Geben Sie hier Ihre Antwort ein,,,Tapez votre réponse ici,,ここに答えを記入してください,Digite sua resposta aqui,Ange ditt svar här,Escriba su respuesta aquí,พิมพ์คำตอบของคุณที่นี่,Yanıtınızı buraya yazınız,빈칸에 정답을 입력하여주세요.,Введите Ваш ответ здесь,Typ uw antwoord hier,Kirjoita vastauksesi tähän,Skriv inn svaret ditt her
Tap image to see larger,Pro zvětšení obrázku na něj poklepejte.,轻触放大图片,Klik på billedet for at forstørre,Klicken Sie zum Vergrößern auf das Bild,,,,,イメージを押して拡大してください,Clique na imagem para ampliá-la,Klicka på bilden för att förstora,Haz clic en la imagen para verla más grande,กดที่รูปถ้าต้องการมุมมองที่ีใหญ่ขึ้น,Daha büyük görmek için görsele tıklayınız,그림을 클릭하면 확대한 이미지를 볼 수 있습니다.,"Коснитесь изображения, чтобы увеличить его",Tik op de afbeelding om deze te vergroten,Suurenna kuvaa napauttamalla,Trykk på bildet for å se det i større utgave
Click an image to expand,Pro zvětšení obrázku na něj klikněte.,点击放大图片,Klik på billedet for at forstørre,Klicken Sie auf ein Bild zum Vergrößern,,,,,,,Klicka på bilden för att expandera,Haz clic en una imagen para ampliar,กดที่รูปถ้าต้องการขยายรูป,Büyütmek için görsele tıklayınız,그림을 클릭하면 확대한 이미지를 볼 수 있습니다.,"Щелкните изображение, чтобы увеличить его",Klik op een afbeelding om deze uit te breiden,Laajenna kuvaa napsauttamalla,Klikk på et bilde for å utvide det
Start New Survey,Spustit nový dotazník.,开始一个新调查问卷,Påbegynd ny undersøgelse,mit der Umfrage beginnen,,,Début du sondage,,アンケートを開始ます,Começar uma nova pesquisa.,Starta ny undersökning,Empezar nueva encuesta,เริ่มตอบแบบสอบถามอันใหม่,Yeni ankete başlayınız,새 설문 시작,Начать новый опрос,Begin nieuwe enquête,Aloita uusi kysely,Start ny undersøkelse
Please choose,Prosím vyberte.,请选择,Du skal vælge,Bitte treffen Sie eine Wahl,,,Veuillez choisir,,,,Vänligen välj   ,Por favor escoga,กรุณาเลือก,Lütfen seçiniz,선택해주세요,Выберите ответ,Maak keuze,Valitse,Velg
Please answer,Prosím odpovězte.,请回答,Du skal vælge,Bitte antworten,,,,,,,Vänligen svara,Por favor responda,กรุณาตอบ,Lütfen yanıtlayınız,답하여주세요,Предоставьте ответ,Geef antwoord,Anna vastaus,Svar
at least,alespoň,至少,mindst,mindestens,,,au moins,,,,minst,al menos,อย่างน้อย,en az,최소,минимум,minstens,vähintään,minst
and,a,和,og,und,,,et,,,,och,y,และ,ve,,и,en,ja,og
up to,až,最多,op til,bis,,,au maximum,,,,upp till,hasta,จนถึง,üstü,최대,до,maximaal,korkeintaan,opptil
answers.,odpovědi,回答,svar.,Antworten.,,,réponses,,,,svar.,respuestas,คำตอบ,yanıtlar,,ответ(ов).,antwoorden.,vastausta.,svar.
words.,slova,字,ord.,Wörter.,,,mots.,,,,ord.,palabras,คำ,kelimeler,자,слов(о).,woorden.,sanaa.,ord.
Thanks!,Díky!,谢谢！,Tak!,Vielen Dank!,,Thanks - Gracias!,Merci!,,,,Tack!,¡Gracias!,ขอบคุณ,Teşekkürler!,감사합니다!,Спасибо!,Bedankt!,Kiitos!,Takk!
Thank you for taking the time to complete this survey.,"Děkujeme, že jste si udělal čas na vyplnění tohoto dotazníku.",感谢你完成调查问卷。,"Tak, fordi du tog dig tid til at tage denne undersøgelse.","Wir danken Ihnen, dass Sie sich die Zeit fur diese Umfrage genommen haben.",,,Nous vous remercions d'avoir pris le temps de répondre à ce sondage.,,,,Tack för din medverkan.,Muchísimas gracias por tomarse el tiempo de completar esta encuesta.,ขอบคุณที่ยอมสละเวลาตอบแบบสอบถามนี้,Bu anketi tamamlamak için zaman ayırdığınız için teşekkürler.,귀한 시간 들여 설문을 완성해주셔서 감사합니다.,"Благодарим Вас за то, что нашли время для участия в этом опросе.",Bedankt dat u de tijd hebt genomen om deze enquête in te vullen.,"Kiitos, että käytät aikaasi tähän kyselyyn vastaamiseen.",Takk for at du tok deg tid til å fullføre denne undersøkelsen.
quota full.,kvóta je naplněna,限额已满。,kvoten er fuld.,Menge voll.,,,"Nous vous remercions d'avoir participé à ce sondage. Nous recherchons un large échantillon d'individus, mais nous avons déjà obtenu suffisamment de renseignements de la part de personnes ayant un profil similaire au vôtre.",,,,kvota full,Cuota completa,โควตาเต็ม,Kota dolu,최대 용량 달성,необходимое количество участников уже набрано.,quota bereikt.,kiintiö täynnä.,kvote full.
screened out.,Respondent vyřazen.,不符合条件。,var ikke kvalificeret.,ausgefiltert.,,,"Nous vous remercions d'avoir participé à ce sondage. Nous recherchons un large échantillon d'individus, mais nous avons déjà obtenu suffisamment de renseignements de la part de personnes ayant un profil similaire au vôtre.",,,,bortsorterad,Descalificado,คัดออก,Elendi,실격,опрос прерван.,afgewezen.,karsittu pois.,fjernet fra undersøkt gruppe.
Please select %d %s.,Vyberte prosím %d %s.,请选择％d％s。,Vælg %d %s.,Bitte wählen Sie %d %s.,,,Veuillez choisir %d %s.,,,,Vänligen välj %d %s. ,Por favor seleccione %d %s,กรุณาเลือก %d %s,Lütfen %d %s seçiniz,,Выберите %d %s.,Selecteer %d %s.,Valitse %d %s.,Velg %d %s.
See many more images by clicking,Odklikáváním zobrazíte mnoho dalších obrázků.,点击以查看更多图片,Se mange flere billeder ved at klikke på,Durch anklicken können Sie viele zusätzlichen Bilder sehen,ingres,,,,,,Se fler bilder genom att klicka på,Vea más imágenes haciendo clic a 'Más Imágenes',คุณสามารถดูรูปเพิ่มโดยกดปุ่มนี้,Daha çok görsel görmek için tıklayınız,클릭하시면 더 많은 이미지를 볼 수 있습니다.,"Увидеть другие изображения можно, щелкнув",Bekijk nog veel meer afbeeldingen door te klikken,Näet lisää kuvia napsauttamalla,Se flere svar ved å klikke på
Please provide an answer for each row.,Vepište prosím odpověď do každého řádku.,请回答每一行,Kom med et svar til hver række.,Bitte fuer jede Reihe eine Antwort geben.,,Please provide an answer for row - Por favor proporcione una respuesta para cada línea.,Veuillez répondre à toutes les questions,,,,Vänligen ange ett svar för varje rad.,Por favor proporcione una respuesta por cada fila.,กรุณาให้คำตอบสำหรับแต่ละแถว,Her satır için bir yanıt veriniz,"Please type in an answer for each row: 각 줄에 답변을 입력하여주세요. 
 
 Please select an answer for each row: 각 줄에 답을 선택해주세요.",Укажите ответ в каждой строке.,Voer een antwoord in voor elke rij.,Anna vastaus kaikille riveille.,Gi et svar for hver rad.
Please provide an answer for each column.,Vepište prosím odpověď do každého sloupce.,请回答每一列,Kom med et svar til hver kolonne.,Bitte fuer jede Spalte eine Antwort geben.,,Please provide an answer for column - Por favor proporcione una respuesta para cada columna.,Veuillez répondre à toutes les questions,,,,Vänligen ange ett svar för varje kolumn.,Por favor proporcione una respuesta por cada columna.,กรุณาให้คำตอบสำหรับแต่ละคอลัมน์,Her sütun için bir yanıt veriniz,"Please type in an answer for each column 각 단에 답변을 입력하여주세요. 
 
 Please select an answer for each column 각 단에 답을 선택해주세요.",Укажите ответ в каждом столбце.,Voer een antwoord in voor elke kolom.,Anna vastas kaikkiin sarakkeisiin.,Gi et svar for hver kolonne.
See many more images by clicking 'More Images'.,"Kliknutím na ""Více obrázků"" zobrazíte mnoho dalších obrázků.",点击“更多图片”以查看更多图片,"Se mange flere billeder ved at klikke på ""Flere billeder"".","Durch anklicken von ""mehr Bilder"" können Sie viele zusätzlichen Bilder sehen",,,Voyez encore plus d'images en cliquant 'Plus d'images',,,,Se fler bilder genom att klicka på Fler Bilder,Vea más imágenes haciendo clic a 'Más Imágenes',คุณสามารถดูรูปเพิ่มโดยกดปุ่ม ‘รูปเพิ่มขึ้น’,Daha çok görsel görmek için 'Daha çok Görsel'e tıklayınız,“더 보기”를 클릭하시면 더 많은 이미지를 볼 수 있습니다.,"Увидеть другие изображения можно, щелкнув «Больше изображений».",Bekijk nog veel meer afbeeldingen door op 'Meer afbeeldingen' te klikken.,Näet lisää kuvia napsauttamalla ”Lisää kuvia”.,Se flere bilder ved å klikke på «Flere bilder».
Tap an image to put it back,Klepnutím na obrázek ho vrátíte zpět.,点击以返回,Tryk på et billede for at lægge det tilbage.,Um ein Bild zurückzusetzen klicken Sie darauf,,,,,,,Klicka på en bild för att lägga tillbaka den,Haz clic en una imagen para devolverla,กดที่รูปถ้าต้องการนำมันกลับไป,Geri koymak için görsele tıklayınız,이미지를 클릭하시면 되돌려집니다.,"Коснитесь изображения, чтобы вернуть его назад",Tik op een afbeelding om deze terug te zetten,Palauta kuva napauttamalla sitä,Trykk på et bilde for å sette det tilbake
Please scroll down to see more images before selecting.,"Srolujte stránku dolů, abyste viděl/a všechny obrázky. Kliknutím obrázek vyberte.",下划查看更多图片并点击选择,"Rul ned for at se flere billeder, inden du foretager dit valg.",Scrollen um alle Bilder zu sehen und daraufklicken um auszuwählen,,,défiler pour voir plus d’images,,,,Bläddra för att se alla bilder och klicka sedan för att välja,Desplaza para ver todas las imágenes y haga clic para seleccionar una imagen,เลื่อนปุ่มถ้าต้องการเห็นรูปเพิ่มและกดปุ่มถ้าต้องการเลือก,Tüm görselleri görmek için sayfayı kaydırınız ve seçmek için üzerine tıklayınız,스크롤하여 모든 이미지를 보시고 클릭하여 선택해주세요,"Прокрутите вниз, чтобы увидеть другие изображения перед тем, как сделать выбор.",Scrol omlaag om meer afbeeldingen te zien voordat u selecteert.,Vieritä alaspäin nähdäksesi lisää kuvia ennen valitsemista.,Bla ned for å se flere bilder før du velger.
Choose image above,"Vyberte prosím jeden z obrázků, které vidíte zde nahoře.",选择以上的图片,Vælg billedet ovenfor.,Bitte wählen Sie Ihr Bild oben aus,,,,,,,Välj bild ovanför,Eliga la imagen de arriba,เลือกรูปที่อยู่ข้างบน,Yukarıdaki görseli seçiniz,위 이미지를 선택해주세요,Выберите изображение выше,Kies bovenstaande afbeelding,Valitse kuva yllä,Velg bilde ovenfor
"Thank you for participating in this survey. We are searching for a cross section of individuals and unfortunately already have enough information from individuals with your qualifications. (**DONT TRANSLATE THIS PARENTHESIS** - The message id on the platform is ""screened out.""!! Nearly none of the languages get's this translation right since they have translated ""screened out."" in another cell.)",Děkujeme Vám za účast v tomto výzkumu. Hledáme reprezentativní průřez společností a bohužel už máme dostatečné množství informací od lidí s Vašimi charakteristikami.,感谢您参与本次调查。我们正在寻找一个截面，不幸的已经从与你的资历足够的个人信息。,"Tak for din deltagelse i denne undersøgelse. Vi søger et tværsnit af personer, og desværre har vi allerede nok oplysninger fra personer med dine kvalifikationer.",Vielen Dank für Ihre Teilnahme an der Umfrage. Wir brauchen ein breites Spektrum an Individen und leider haben wir bereits genügend Information von Personen mit Ihren Qualifikationen.,,,"Nous vous remercions d'avoir participé à ce sondage. Nous recherchons un large échantillon d'individus, mais nous avons déjà obtenu suffisamment de renseignements de la part de personnes ayant un profil similaire au vôtre.",,,,Tack för din medverkan i denna undersökningen. Vi söker efter personer med en viss profil och tyvärr har vi redan tillräckligt med information från personer med dina kvalifikationer. ,Gracias por participar en esta encuesta. Estamos en busca de un perfil específico de individuos y desafortunadamente ya tenemos suficiente información de personas con sus calificaciones.,ขอบคุณที่ร่วมมือตอบแบบสอบถามนี้ เราพยายามค้นหาผู้ร่วมทำแบบสอบถามที่มีความหลากหลาย ดังนั้นเราขอโทษที่คุณจะไม่ได้ร่วมตอบแบบสอบถามนี้เพราะว่าเราได้ข้อมูลเพียงพอแล้วจากผู้ตอบแบบสอบถามคนอื่นที่มีคุณสมบัติเท่าคุณ,Bu ankete katıldığınız için size teşekkür ederiz. Biz tüm gruplardan bireyler arıyoruz ve malesef sizin niteliğinizdeki bireylerden yeterli bilgi topladık.,"설문에 참여해주셔서 감사합니다. 다양한 배경의 사람들을 조사하려나, 저희는 귀하와 유사한 자격요건을 갖고 계신 분들로 부터 충분한 답변을 받았습니다.","Благодарим Вас за участие в этом опросе. Нам нужны представители различных категорий. К сожалению, мы уже набрали необходимое количество участников в Вашей группе.(**DONT TRANSLATE THIS PARENTHESIS** - The message id on the platform is ""screened out.""!!Nearly none of the languages get's this translation right since they have translated ""screened out."" in another cell.)",Dank u voor uw deelname aan dit onderzoek. We zijn op zoek naar een dwarsdoorsnede van personen en hebben helaas al genoeg informatie van personen met uw kwalificaties.,#VALUE!,"Takk for at du deltar i denne undersøkelsen. Vi leter etter et kryssutvalg av enkeltpersoner, og vi har dessverre nok informasjon fra enkeltpersoner med dine kvalifikasjoner."
Please answer using only numbers,Odpovězte prosím pouze číslem.,请仅用数字回答,Svar udelukkende med tal,Bitte antworten Sie nur mit Zahlen,,,,,,,Vänligen svara endast med siffror,Por favor responda usando sólo números,กรุณาให้คำตอบโดยใช้แต่ตัวเลขเท่านั้น,Lütfen sadece sayı kullanarak yanıtlayınız,숫자만 입력해주세요,Для ответа следует вводить только числа,Antwoord alleen met cijfers,Vastaa käyttämällä vain numeroita,Svar med kun tall
Please use between %s and %s words,,,Brug mellem %s and %s ord,,,,,,,"Por favor, use entre %s e %s palavras",Använd mellan %s och %s ord,,,Lütfen %s - %s arası sayıda sözcük kullanınız.,%s ~ %s자를 입력해주세요,Используйте от %s до %s слов,Gebruik tussen de %s en %s woorden,Käytä %s–%s sanaa,Bruk mellom %s og %s ord
Please select between %s and %s options,,,Vælg mellem %s and %s valgmuligheder,,,,,,,"Por favor, selecione entre %s e %s opções",Välj mellan %s och %s alternativ,,,Lütfen %s - %s arası sayıda seçenek belirtiniz.,%s ~ %s개의 선택을 해주세요.,Выберите от %s до %s вариантов,Selecteer tussen de %s en %s opties,Valitse %s–%s vaihtoehtoa,Velg mellom %s og %s alternativer
exactly,,,præcist,,,,,,,,"""exakt """,,,,정확히,"""ровно""",precies,tasan,nøyaktig
options,,,valgmuligheder,,,,,,,,alternativ,,,,"항목들: “options” 
 5가지 항목들: “5 options”",вариантов,opties,vaihtoehtoa,alternativer
between %d and %d,,,mellem %d og %d,,,,,,,,mellan %d till %d,,,,%d ~ %d,от %d до %d,tussen de %d en %d,%d–%d,mellom %d og %d
Please select,,,Vælg,,,,,,,,Vänligen välj,,,,선택해주세요,Сделайте выбор,Selecteer,Valitse,Velg
Please choose between %d and %d options,,,Vælg mellem %d og %d valgmuligheder,,,,,,,,Vänligen välj mellan %d till %d alternativ,,,,%d ~ %d가지를 선택해주세요,Выберите от %d до %d вариантов,Kies tussen de %d en %d opties,Valitse %d–%d vaihtoehtoa,Velg mellom %d og %d alternativer
Please choose exactly %d options,,,Vælg præcist %d valgmuligheder,,,,,,,"Por favor, selecione exatamente %d opções.",Vänligen välj exakt %d alternativ,,,,%d가지를 선택해주세요,Выберите ровно %d вариантов,Kies precies %d opties,Valitse tasan %d vaihtoehtoa,Velg nøyaktig %d alternativer
Please choose at least %d options,,,Vælg mindst %d valgmuligheder,,,,,,,,Vänligen välj minst %d alternativ,,,,최소 %d가지를 선택해주세요,Выберите минимум %d вариантов,Kies minstens %d opties,Valitse vähintään %d vaihtoehtoa,Velg minst %d alternativer
Please choose up to %d options,,,Vælg op til %d valgmuligheder,,,,,,,,Vänligen välj upp till %d alternativ,,,,최대 %d가지를 선택해주세요,Выберите до %d вариантов,Kies maximaal %d opties,Valitse korkeintaan %d vaihtoehtoa,Velg opptil %d alternativer
"Press, hold, and drag to select specific text",,,"Tryk, hold og træk for at vælge specifik tekst",,,,,,,,"Tryck, håll nere och dra för att välja ett visst textavsnitt",,,,,"Чтобы выбрать определенный текст, нажмите, удержите и переместите его","Druk, houd vast en sleep om specifieke tekst te selecteren",,
Please highlight exactly 3 words or phrases.,,,Fremhæv præcist 3 ord eller sætninger.,,,,Veuillez remarquez exactement trois mots ou phrases,,,,Markera exakt 3 ord eller uttryck.,,,,,Выделите ровно 3 слова или фразы.,Markeer precies 3 woorden of zinnen.,,
Click on a statement to assign its ranking,,请点击语句以排序,Klik på et udsagn for at tildele dets rangorden,,,,Cliquez sur l’énoncé pour le classer en ordre d’importance,,,Clique em uma afirmativa para atribuir sua classificação,Klicka på ett påstående för att rangordna det,,,,문장을 선택하여 순위를 정해주세요,"Чтобы дать оценку утверждению, щелкните его",Klik op een bewering om de rangschikking toe te wijzen,,
Choose statements above,,请选择上述语句,Vælg udsagnene ovenfor,,,,Choisissez les énoncés ci-dessus,,,Escolha as afirmativas acima,Välj påståenden ovan,,,,위의 문장을 선택해 주세요,Выберите утверждения выше,Kies bovenstaande beweringen,Valitse väitteitä yllä,Velg utsagn ovenfor
"To undo a selection, re-click the statement",,请再次点击语句以重新选择,Klik på udsagnet igen for at fortryde et valg,,,,"Pour enlever une sélection, re-cliquez sur l’énoncé",,,"Para desfazer uma seleção, clique novamente na afirmativa","För att göra om ett val, klicka på påståendet igen",,,,선택을 취소하려면 문장을 다시 한 번 클릭해 주세요,"Чтобы отменить выбор, щелкните утверждение еще раз","Om een selectie ongedaan te maken, klikt u opnieuw op de bewering",,
Place statement here,,请将语句移动至此处,Anbring udsagnet her,,,,Placer une énoncé ici,,,Clique aqui para colocar a afirmativa nesta posição do ranking,Placera påståendet här,,,,문장을 이곳에 놓아주세요,Поставьте утверждения сюда,Plaats bewering hier,,
